year,country,iso,crisis_bin,crisis_lv,crisisJST,crisis_union,crisis_h1,crisis_h2,crisis_h3,tloans,tmort,lev,ltd,noncore,hpnom,housing_capgain,eq_capgain,stir,ltrate,bill_rate,gdp,iy,ca,cpi,debtgdp,money,bond_rate,housing_tr,eq_tr,tloans_gap,hpnom_gap,term_spread,tloans_growth
1870,Australia,AUS,0,0,0.0,0,0,0,0,54.792,1.68,25.016658782958984,119.83203887939453,32.928768157958984,0.49225261362399997,-0.04545630142092705,-0.07004543393850327,4.88,4.911817,0.04879999905824661,208.78,0.1092656,-6.147593999999998,2.708333,0.17256799999999997,54.3,0.04911816865205765,0.13175059854984283,-0.004903895314782858,14.62657962161154,0.026388283126276446,0.031817000000000206,
1871,Australia,AUS,0,0,0.0,0,0,0,0,53.748,1.766,23.983003616333008,107.03787994384766,30.213655471801758,0.4698774948229091,-0.04545630142092705,0.04165362939238548,4.6,4.844633,0.04600000008940697,211.56,0.1045791,5.260773999999998,2.666667,0.191799,59.5,0.048446331173181534,0.13175059854984283,0.11019296944141388,5.224658391018991,-0.011139748527409121,0.24463300000000032,-0.01905387647831802
1872,Australia,AUS,0,0,0.0,0,0,0,0,55.821999999999996,1.47,22.445646286010742,94.9095458984375,26.860410690307617,0.48479424069030297,0.03174660727381706,0.10894547402858734,4.6,4.73735,0.04600000008940697,227.4,0.130438,7.867636000000001,2.541667,0.15492,68.5,0.04737349972128868,0.13175059854984283,0.1767493039369583,-1.0958292886275416,-0.011441886220425912,0.13735000000000053,0.038587482324923705
1873,Australia,AUS,0,0,0.0,0,0,0,0,65.38000000000001,1.364,21.00499725341797,101.70809936523438,28.645015716552734,0.4698774948229091,-0.030769770964980125,0.08308646827936172,4.3999999999999995,4.671958,0.04399999976158142,266.54,0.1249862,-11.0478328,2.541667,0.14269199999999999,73.7,0.04671958088874817,0.13175059854984283,0.15168581902980804,-0.018511512359594917,-0.04168160769254381,0.2719580000000006,0.17122281537745
1874,Australia,AUS,0,0,0.0,0,0,0,0,71.478,1.434,20.974374771118164,102.079345703125,28.29804801940918,0.5668363429609697,0.20634974539279938,0.11938886344432831,4.5,4.653317,0.04500000178813934,287.58,0.1419599,-5.5639588,2.666667,0.19432200000000002,79.3,0.04653317108750343,0.13175059854984283,0.19148139655590057,-2.5342768019871897,0.03984065617553301,0.15331700000000037,0.09327011318445977
1875,Australia,AUS,0,0,0.0,0,0,0,0,79.954,1.564,19.60017967224121,101.90934753417969,28.04974937438965,0.5668363429609697,0.0,0.057058729231357574,4.6,4.507325,0.04600000008940697,300.74,0.160564,-7.908736800000002,2.75,0.233687,88.5,0.0450732484459877,0.13175059854984283,0.12440787255764008,-2.851967400539337,0.02438515063857416,-0.09267499999999984,0.1185819412966227
1876,Australia,AUS,0,0,0.0,0,0,0,0,86.206,1.86,18.568849563598633,100.68677520751953,28.12699317932129,0.5220861053587879,-0.07894700020551682,0.0541035495698452,4.6,4.565908,0.04600000008940697,311.26,0.1678778,-6.952112800000002,2.791667,0.158506,95.8,0.045659080147743225,0.13175059854984283,0.11881456524133682,-5.6140898590401775,-0.035844428009695894,-0.034091999999999345,0.07819496210320942
1877,Australia,AUS,0,0,0.0,0,0,0,0,101.036,2.42,18.741100311279297,106.30668640136719,24.983030319213867,0.5220861053587879,0.0,0.07444196939468384,4.5,4.38885,0.04500000178813934,313.66,0.2099336,-14.624798799999997,2.875,0.17609200000000003,105.7,0.043888501822948456,0.13175059854984283,0.136591374874115,-0.05202081001259273,-0.05141348168366433,-0.1111500000000003,0.17202978910980682
1878,Australia,AUS,0,0,0.0,0,0,0,0,106.64800000000001,2.754,19.204307556152344,112.3225326538086,27.424211502075195,0.5892114617620606,0.1285707652568817,-0.13273651897907257,4.8,4.4428,0.04800000041723251,324.3,0.181141,-16.3359228,2.833333,0.172852,106.2,0.04442799836397171,0.13175059854984283,-0.0789373591542244,-3.9811016613317634,7.68423690332698e-05,-0.35719999999999974,0.055544558375232755
1879,Australia,AUS,0,0,0.0,0,0,0,0,102.726,2.9,19.334449768066406,105.5245132446289,26.23139762878418,0.6041282076294545,0.025316907092928886,0.060070499777793884,4.9,4.60335,0.04899999871850014,334.44,0.1615086,-12.3326728,2.75,0.208934,108.3,0.046033501625061035,0.13175059854984283,0.12413585931062698,-17.736543768847895,-0.0005551551352722672,-0.2966500000000005,-0.03677518565749016
